Year,Site,Habitat,Non-Herbivore Biomass,Herbivore Biomass
2021,3,FR,23192.199999999997,15829.880000000005
2021,4,BA,28588.000000000004,17356.310000000005
2021,4,FO,30444.099999999988,18309.53999999999
2021,4,FR,73272.1099999999,11174.950000000003
2021,5,BA,10281.620000000006,27615.629999999994
2021,5,FO,16581.800000000003,21873.37
2021,5,FR,15347.450000000004,14932.779999999999
2021,6,BA,13379.47,14993.609999999997
2021,6,FO,30510.779999999995,47931.570000000014
2021,6,FR,3239.820000000001,1450.84
2022,1,BA,7821.120000000003,24030.32
2022,1,FO,38448.29,21527.879999999994
2022,1,FR,12132.660000000003,30341.15000000001
2022,2,BA,9770.399999999998,27663.980000000003
2022,2,FO,63731.61999999999,24108.379999999997
2022,2,FR,25488.31000000001,36609.58000000001
2022,3,BA,65080.60000000002,18126.78000000001
2022,3,FO,13008.990000000003,21776.19
2022,3,FR,24173.74,20755.679999999993
2022,4,BA,6368.399999999997,21449.999999999985
2022,4,FO,16877.309999999987,16467.040000000005
2022,4,FR,20256.379999999994,12876.789999999992
2022,5,BA,20353.46,21464.249999999996
2022,5,FO,7190.32,44042.74999999999
2022,5,FR,17942.769999999997,20549.85
2022,6,BA,9419.480000000005,15459.580000000005
2022,6,FO,15922.4,42397.97999999999
2022,6,FR,10361.59,29803.259999999995
